"category","company","year","fraud","ac_recv","ac_recv_to_Sales","ta","tl","az_score","debt_equity","fixedAsset_ta","gross_margin","roe","inv_to_sales","sales","ppe_ta","sales_ta","int_earned","total_accruals_ta","td_ta"
"infrastructuregeneral","MI56",13,"no",0.16,0.888888888888889,20.12,3.56,3.84473439140438,-0.772669220945083,0.0447316103379722,1,0.0338441890166028,38.6111111111111,0.18,0.0447316103379722,0.00894632206759443,6.05,0.254970178926441,-0.601391650099404
"infrastructuregeneral","MI56",12,"no",0.21,0.0290055248618785,13.39,1.78,4.94271478799372,-0.832391713747646,0.0739357729648992,1,0.0301318267419962,0.743093922651934,7.24,0.0739357729648992,0.540702016430172,4.78571428571429,-0.0814040328603435,-0.660194174757282
"infrastructuregeneral","MI56",11,"no",0.37,0.0856481481481481,12.02,1.33,5.82298139691992,-0.870999030067895,0.0307820299500832,1,0.020368574199806,1.44444444444444,4.32,0.0307820299500832,0.359400998336107,4.15384615384615,0.0482529118136439,-0.747088186356073
"miscellaneous","MI59",15,"no",28.74,0.11498299659932,169.71,91.08,2.58852413778166,0.803207285686003,0.165576571798951,0.310902180436087,0.101564046723421,0.173314662932587,249.95,0.165576571798951,1.47280655235402,4.67559523809524,-0.113546638383124,0.239054858287667
"miscellaneous","MI59",14,"no",33.86,0.165509825007332,168.97,94.05,2.30000177206508,0.989213197969543,0.163638515712848,0.303353211457621,0.0951776649746193,0.198846417049565,204.58,0.163638515712848,1.21074746996508,3.359375,0.0769959164348701,0.276794697283541
"miscellaneous","MI59",13,"no",24.17,0.158035831044854,129.17,59.7,2.41694417508305,0.36052871467639,0.19826585120384,0.274421341702628,0.0797629899726527,0.166078200601543,152.94,0.19826585120384,1.1840210575211,3.2248322147651,0.0860881009522335,0.122474258728807
"miscellaneous","MI59",12,"no",10.46,0.0815149625935162,117.25,49.22,2.33156658969043,0.193212121212121,0.228486140724947,0.237609102244389,0.0841212121212121,0.222490648379052,128.32,0.228486140724947,1.09441364605544,3.47317073170732,-0.007590618336887,0.0679744136460554
"miscellaneous","MI59",11,"no",12.5,0.117183838005062,113.55,49.97,2.25845215982077,0.290880909325756,0.219022457067371,0.301771819630637,0.171273572720227,0.316396362613668,106.67,0.219022457067371,0.939409951563188,6.65895953757226,0.129194187582563,0.0991633641567591
"infrastructuregeneral","MID",15,"no",39.44,0.0453964709538554,872.45,602.52,1.74593454968301,1.32947999226754,0.0129405696601524,1,0.0624395901797796,0,868.79,0.0129405696601524,0.995804917187231,2.01421800947867,0.0459854432918792,0.394142930826982
"infrastructuregeneral","MID",14,"no",22.51,0.0465794810247072,491.01,258.63,2.05294975224895,0.189048779366466,0.030304881774302,1,0.0198151809112225,0,483.26,0.030304881774302,0.984216207409218,1.34303844718178,-0.0752530498360522,0.0837457485590925
"infrastructuregeneral","MID",13,"no",26.08,0.0292330800098639,431.65,206.88,3.66723913854542,-0.0296435272045028,0.0268272906289818,1,0.0773452157598499,0,892.14,0.0268272906289818,2.0668133904784,2.22926308294767,-0.295216031507008,-0.0146414919494961
"infrastructuregeneral","MID",12,"no",3.36,0.00478837109876015,937.08,730.74,1.48455783331858,2.71480860149459,0.0102766039185555,1,0.091962787860302,0,701.7,0.0102766039185555,0.74881546933026,1.76525125162247,0.318553378580271,0.569887309514663
"infrastructuregeneral","MID",11,"no",26.91,0.0816518493794945,914.16,820.27,0.49844935978822,8.12729498164015,0.00440841865756542,1,-0.0846778680316012,0,329.57,0.00440841865756542,0.360516758554301,1.53315363881402,-0.00448499168635687,0.798984860418308
"textilesprocessing","MKE",15,"no",50.15,1.05048177628823,58.23,34.24,2.01565474849172,0.550022634676324,0.0326292289198008,0.96585672392124,0.0230873698506111,0.0406367825722664,47.74,0.0326292289198008,0.819852309805942,4.95454545454545,-0.00120212948651898,0.208655332302937
"textilesprocessing","MKE",14,"no",24.32,0.879248011569053,33.82,10.36,3.26592647653144,-0.529518619436876,0.0428740390301597,0.955169920462762,0.00499545867393279,0.019884309472162,27.66,0.0428740390301597,0.81785925487877,1.94444444444444,0.0147841513897102,-0.344766410408043
"textilesprocessing","MKE",13,"no",11.26,0.868157286044719,28.27,4.76,4.39828382672489,-0.782648401826484,0.0569508312698974,0.883577486507325,0.00365296803652968,0.164996144949884,12.97,0.0569508312698974,0.458790237000354,1.14634146341463,0.0633180049522462,-0.606296427308101
"textilesprocessing","MKE",12,"no",18.25,1.24318801089918,38.05,14.45,2.15903309522619,-0.338066880439762,0.0465177398160315,0.82425068119891,0.00137425561154375,0.199591280653951,14.68,0.0465177398160315,0.38580814717477,1.01234567901235,0.0191852825229961,-0.193955321944809
"textilesprocessing","MKE",11,"no",16.6,0.98927294398093,39.03,15.32,2.07879794280225,-0.297247706422018,0.0491929285165257,0.774731823599523,0.0100917431192661,0.215733015494636,16.78,0.0491929285165257,0.429925698180886,1.625,0.106072252113759,-0.166026133743274
